Malét a mbôñe hyémbi.	Màlêt à mɓōŋɛ hyembi.
Me gatimbil i matôa.	Mɛ̀ gatimbil i matoà.
Hikaga hi ñke kékéndi .	Hikaga hi ŋkɛ̀ kékéndi .
Njel ini i ñap i ke i mbay.	Njɛ̌l ı̀ni i ŋàp i kɛ̀ i mbāy.
Lisuhul minsaa mi bagwelnson.	Lisuhul minsaa mi bagwelnson.
Bembep bisu bi bôt.	Bembep bisū bi ɓôt.
Yik mudaa ini i mboamboa mam.	Yik mùdàa ı̀ni i mboamboa mâm.
Bôdaa ba ntañal mañga.	Ɓòdàa ɓa ntañal maŋgà.
Sôkbôk njel.	Sôkbôk njɛ̀l.
Ñgandak nson i ntômbha.	Ŋgàndàk ǹsɔn i ntômbha.
Ñgandak njal kila!.	Ŋgàndàk njâl kilâ!.
Ñgim bôt i ñemel hi u.	Ŋgı̀m ɓòt i ñemel hi û.
Me nsômbôl nye kumul libadô.	Mɛ̀ nsòmbol nyɛ kùmul liɓàdò.
Malép ma gwéé bituñga.	Màlep ma gwèe bituñga.
Lisoñ li péé li ñwédél he we?	Lı̀sɔ̀ŋ li pee li ñwédél hɛ̀ wɛ̂?
Kii u mpot mayel hala?	Kii u mpɔ̄t mayel halà?
Lison man.	Lı̀sɔn man.
Siñmbañga i ñgwel bon ba kôp.	Siñmbañga i ŋ̀gwɛ̂l ɓɔn ɓa kop.
A mpumha me.	À mpumha mɛ̂.
Boñge ba nlébha mañgôlô.	Ɓɔ̀ŋgɛ ɓa ǹlebha mañgôlô.
Man nuu a ñandle(ne) nyoo ñgii nloñ.	Mǎn nuu à ñandle(ne) nyɔ̀ɔ ŋgı̀i nlɔ̄ŋ.
Nson wéé u biyéna.	Ǹsɔn wee u biyéna.
Ibale mut a sômblak jam ndi a nyegba ndigi a mbana jo, wee a «mbomop mbom tôle», inyuule a ñkôs jam he nson bé le a nsal. .	Iɓālɛ̄ mùt à sòmblak jàm ndi à nyegba ndigi à mbana jɔ, wɛ̀ɛ à «mbomop mbɔ̀m tôle», inyùulɛ̄ à ŋ̀kôs jàm hɛ̀ ǹsɔn ɓe lɛ à nsāl. .
Huluu makabô; huluu biték.	Huluu makabô; huluu bitèk.
U nhôôgene nje hiônde? .	Ù nhôôgene njɛ̄ hiônde? .
A gwéé bon batan.	À gwèe ɓɔn ɓatân.
Lipenlak jéé li mbot i tone.	Lipenlak jee li mbɔt i tɔnɛ̀.
Nunu mut a nnok bé to jam, a yé duñgel.	Nunu mùt à ǹnɔk ɓe tɔ̀ jâm, à yè duñgel.
Ñwemel u nhimbla.	Ŋwɛ̀mɛl u nhimbla.
Emble ndoñol i Bañga Nyambe (i) nyo (u) Pastô.	Emble ndoñol i Ɓàŋga Nyambɛ (i) nyɔ̀ (u) Pastô.
Gwom bi nimbii ni mbédgé.	Gwɔ̌m bi nimbii nı̀ mbēdge.
Haba bitamb gwoñ, di kenek!	Haba bı̀tamb gwɔŋ, dı̀ kenek!
Bôt ba ndim; ndim i yé kon.	Ɓòt ɓa ndim; ndim i yè kɔ̂n.
Mudaa a ñadbe nlôm!	Mùdàa à ŋādɓɛ nlom!
Lihañ li nyik.	Lihañ li nyik.
Njal i nyôdbaha nye hikii kel.	Njàl i nyôdbaha nyɛ hikı̀i kɛl.
Ñwet le Nyambe a ñkal le, Men me yé Alfa ni Ôméga, nu a yé, nyen a ba, nye ki nyen a nlo, Bayemlikok. (Mas 1,8).	Ŋwɛ̀t lɛ Nyambɛ à ŋkàl lɛ, Mɛ̌n mɛ̀ yè Alfà nı̀ Ôméga, nu à yè, nyɛn à ɓâ, nyɛ ki nyɛn à nlɔ̀, Bayemlikok. (Màs 1,8).
Hisi hi sép hi mbôô miñkegi.	Hı̀si hi sèp hi mboo miñkegi.
Bagwel likañ ba nti sadga.	Ɓàgwɛ̀l likàŋ ɓa ǹti sàdgà.
Lijôbôk joñ i mam li ñwéha nyuu.	Lijôbôk jɔŋ i màm li ŋ́wēha nyuu.
"Ibale baboñ béba ba nlop we" Biñ 1:10.	"Iɓālɛ̄ ɓaɓɔ̀ŋ ɓeba ɓa ǹlɔp wɛ̀" Ɓiŋ 1:10.
Kilô minyaga i ntémba nya i yé le u nla bé kaa.	Kilô minyaga i ntémba nyà i yè lɛ u nlà ɓe kaa.
Hyu hi nne nsugi ñgandak!	Hyu hi nnɛ̀ nsugi ŋgandàk!
Oñ hiua.	Ɔŋ hiua.
A nnagal wee liko li paa.	À nnagal wɛ̀ɛ liko li paa.
U baa bañ me! lép u mbaa jegi.	Ù ɓaa ɓâŋ mɛ̂! lep u mbàà jɛ̀gi.
Mut u nlo yuuga a ntip pam.	Mùt u nlɔ̀ yūugà à ntı̂p pam.
Beelene yem i makondo i nimil.	Beelene yɛ̂m i makɔ̀ndɔ̀ i nimı̂l.
Kiñe yés i mbuule bôt bobasô.	Kiŋɛ yes i mɓuulɛ ɓòt ɓɔɓasô.
A ntus hida hi lisaaga.	À ǹtus hı̀da hi lisaaga.
I ñgéda u nleñ ñgok i lép u témi u ntehe mindoñ mi ñke i ñgii malép.	I ŋgèdà u ǹlɛ̂ŋ ŋgɔ̀k i lep u témi u ǹtɛhɛ mindoñ mi ŋkɛ̀ i ŋgı̀i malep.
Kii ba ñôm me ndondok, homa nyuu a yila me hituruuturuu.	Kii ɓa ŋ̀om mɛ̀ ndondok, hɔ̀ma nyùu à yı̀là mɛ̀ hituruuturuu.
Kel kunde loñ i mbigdana hi ñwii.	Kɛl kùndɛ̀ lɔ̀ŋ i mbigdana hi ŋwı̀ı̀.
Map ma tabé nye.	Map ma taɓē nyɛ.
Bibôlôl bi mañ.	Bibôlôl bi mâŋ.
Me ntooge balal boñ le ba kil me i lép.	Mɛ̀ ntooge ɓàlàl ɓɔ̀ŋ lɛ ɓa kı̀l mɛ̀ i lēp.
Tôlô a mmal me mpék hiôn(d)e.	Tôlô à m̂mâl mɛ̀ mpek hiôn(d)e.
Kii u ntuñglene lép?	Kii u ntūŋglɛnɛ lēp?
Bihônd bi nteba bi mmal bôdôl.	Bihônd bi ǹtɛba bi m̂mâl ɓodòl.
Hibañ (hi) ñgok.	Hı̀ɓàŋ (hi) ŋgɔ̀k.
Tééda pék i bagal mam (Biñgéñgén 5:2a).	Teedà pêk i ɓagâl màm (Bı̀ŋgèŋgên 5:2a).
Bijok bi pagi.	Bijok bi pagi.
Mamuna ma kui ndomm (Éz 1,7).	Mamuna ma kuı̄ ndomm (Èz 1,7).
Jumbul li ségi i e.	Jumbul li ségi i ɛ̄.
Bini bijek bi mbahla.	Bini bı̀jɛk bi mbahla.
Matoonde ma hibee.	Matoonde ma hı̀ɓɛ̀ɛ.
Lihimbil li ñwemel li yé ndigi jada.	Lihimbil li ŋwɛ̀mɛl li yè ndigi jada.
Bas i nsoo.	Ɓas i nsɔ̀ɔ̀.
Me mbok dinyet ñkok (u) lién.	Mɛ̀ mbɔk dı̀nyɛ̀t ŋkɔ̀k (u) lien.
Bigwélél gwoñ bi yé bibe.	Bigwélél gwɔŋ bi yè bı̀ɓɛ.
Bijek bi nsoo bas.	Bı̀jɛk bi nsɔɔ̄ ɓâs.
Bagat ñkôô.	Bagat ŋkòò.
Mudaa a mbohba libii .	Mùdàa à mbohba lı̀ɓiı̂ .
Baa mambegee ma nlôñla matôa?	Ɓàa mambɛ̀gɛ̀ɛ̀ ma nlôñla matôa?
Nsôhôk (u) tuye; nhôlôk (u) tuye.	Nsôhôk (u) tuye; nhôlôk (u) tuyɛ̂.
Nsugut woñ u nnyôhna loñge munu lipondo.	Ǹsùgut wɔŋ u nnyôhna lɔŋgɛ munu lı̀pɔ̀ndɔ.
Yoñ nye (man kaat); je nyensô; (Mas.10,9).	Yɔ̌ŋ nyɛ (mǎn kaat); jɛ nyensô; (Mas.10,9).
A nnyiine me masoñ.	À nnyiine mɛ̀ màsɔ̀ŋ.
Nyo wéé u nyon ni ndiihe ni mandon ni nhyamba; mañgañga ni béba ba nyééne isi hilémb hyéé. (Ps 10,7).	Nyɔ̀ wee u ńyɔn nı̀ ndiihe nı̀ mandon nı̀ nhyamba; màŋgàŋga nı̀ ɓeba ɓa ńyèènɛ isı̄ hilémb hyee. (Ps 10,7).
Di ntéé bisane i ñwaa (u) ñkoñ.	Dı̀ ǹtee bisane i ŋwaa (u) ŋkɔ̀ŋ.
Mut wip a mpémél me nyeeñ.	Mùt wı̌p à mpēmel mɛ̀ nyeeñ.
Noode pala témb i suglu.	Noode pala têmb i sǔglù.
Ñkôô woñ u nhudla.	Ŋ̀kòò wɔŋ u nhudla.
Ñkok u mbet môga.	Ŋ̀kɔ̀k u m̂ɓɛt môga.
Dibee tjés di mbéhlaha.	Dı̀ɓɛ̀ɛ̀ ces dı̀ mbéhlaha.
Kép mut ni nson.	Kèp mùt nı̀ ǹsɔn.
Néñha mut i hééba ñkanda.	Neŋha mùt i heeba ŋkanda.
Mut wip a mbôk ndap.	Mùt wı̌p à m̂ɓok ndap.
Ñgola mot.	Ñgola mɔ̄t.
Hikoo hi mbok .	Hikoo hi mbɔk .
A nsumble kôndôm.	À nsumble kôndôm.
Lileñek joñ li mpan; lileñek jéé li ñgaa;	Lı̀lɛŋɛ̂k jɔŋ li mpan; lileñek jee li ŋgaa;
Himaña hi mañge.	Hı̀maŋa hi maŋgɛ.
Yôñôl me ñgond nyaga...ni ñin kembe..., ni bép ntômba, ni kuku, ni lélés hibeñ (Bib.15,9).	Yòŋol mɛ̀ ŋgɔ̀nd nyàgà...nı̀ ŋ̀in kɛmbɛ̂..., nı̀ ɓep ntomba, nı̀ kukû, nı̀ lelês hiɓɛ̀ŋ (Bib.15,9).
Lisok li nyik, lisok li ñgômb.	Lı̀sɔk li nyik, lisok li ŋgòmb.
Lisok li nyik, lisok li ñgômb.	Lı̀sɔk li nyik, lisok li ŋgòmb.
Joñ li nyilis nye ñkôt.	Jɔ̌ŋ li ǹyilı̄s nyɛ ŋkot.
Sundle me ñkôô unu.	Sundle mɛ̀ ŋ̀kòò unu.
Ndiô i mbay me i ñgii nyaañga Malume.	Ndı̀ò i mbāy mɛ̀ i ŋgı̀i ńyààŋgà Malume.
A ntelbene i ñgii nañ.	À ntelbene i ŋgı̀i nàŋ.
Nyañgô yem ini.	Nyàŋgo yɛ̂m ı̀ni.
Me biéñés ntet.	Mɛ̀ biēŋes ǹtɛ̀t.
Njap u nti bikék bilam.	Njàp u ǹti bikek bilam.
Balop tjobi ba nha nsôñ i lom.	Balop cɔbı̄ ɓa ǹha ǹsôŋ i lɔ̂m.
Jéan Bikôgôô a ñkôt hisigô (asikô)!	Jean Bı̀kògoo à ŋkòt hisigô (asikô)!
Me mbônbene nye le me ti nye kaat.	Mɛ̀ mɓōnɓɛnɛ nyɛ lɛ mɛ̀ ti nyɛ kààt.
A nliga le a ñkôle bé me moni.	À nliga lɛ à ñkôle ɓe mɛ̀ mɔ̀ni.
A yé bôk mut.	À yè ɓok mût.
A yé bôk mut.	À yè ɓok mût.
Kamél i yé Égiptô.	Kamél i yè Égiptô.
Lipahal bibéba; mabe yak pada.	Lipahal bibéba; màɓɛ yak padà.
Ini yom le bup hiuu i nyiba ha bé i pes yés mbok.	Ini yɔ̌m lɛ ɓûp hiuu i ńyı̄ba ha ɓe i pɛ̀s yes mbɔk.
Mbamak (u) man munlôm.	Mbamak (u) man mùnlom.
Mpôs loo.	Mpôs lɔɔ̄.
Mbiñg i ñkwo bé nso.	Mbiñg i ŋ̀kwɔ ɓe ǹsɔ.
Séya yé i mbôô.	Seya yè i mɓoô.
Kii me nlôôs kégse, me kôs ñgim baskô kii bom.	Kii mɛ̀ ǹloōs kêgsɛ̀, mɛ̀ kôs ŋgı̀m baskò kı̀i ɓɔ̀m.
A gwéé ñgandak bibebela i mbééga yéé.	À gwèe ŋgàndàk bibebela i mbēega yeē.
Libénde bôt nson.	Liɓendɛ̀ ɓòt ǹsɔn.
Siyna banyandôm boñ mbot.	Siyna ɓanyàndom ɓɔ̀ŋ mbɔt.
Bôdaa ba nhem dilélé.	Ɓòdàa ɓa nhɛ̄m dilélé.
Libadô li hul mim.	Lı̀ɓàdò li hul mı̂m.
Ak yem i mbugi len (i) ñgéda nson.	Ak yɛ̂m i mɓugı̂ lɛ̀n (i) ŋgèdà ǹsɔn.
Ba ntibil njee lôñni libaba.	Ɓa ntı̄bil njɛɛ lòŋnı̀ libaba.
Kaô i njéba ñgandak munu i bésni.	Kaò i njēba ŋgàndàk munu i ɓěsnı̄.
Ñgandak bôt i nyi libôgbaga li ñgond ini.	Ŋgàndàk ɓòt i ńyı̄ libôgbaga li ŋgɔ̀nd ı̀ni.
Nnigil a kal Yésu le me ganoñ we to hee u ñke.	Ǹnigı̂l à kâl Yesù lɛ mɛ̀ ganoñ wɛ tɔ̀ hɛɛ u ŋkɛ̀.
Bitan u kônde yada a yé bisamal.	Bitan u kônde yada à yè bisamàl.
Malét kôa a ntubha me hyémbi; di ntubha mapondo.	Màlêt koà à ntubha mɛ̀ hyembi; dı̀ ntubha màpɔ̀ndɔ.
Liat libii.	Lı̀àt lı̀ɓiı̂.
Kidik kék; kidik mbok.	Kidik kék; kidı̂k mbɔk.
Mbék nnañga a ñke lijo.	Mbék nnañga à ŋkɛ̀ lijo.
Hilôba hi nlañ.	Hı̀lòbà hi nlàŋ.
Mudaa lilok a nlegep libay li bôt.	Mùdàa lı̀lɔk à nlegep liɓay li ɓôt.
Mel ndap.	Mɛ̀l ndap.
Bajañ saay a mpot ñgandak, a sehlaga ki.	Bajañ saay à mpɔ̄t ŋgandàk, à sehlaga kı̀.
Me yéne hana len i ndap.	Mɛ̀ yenɛ̀ hana lɛ̀n i ndap.
Bonge ba nnundha me liwanda jem; ba nnundha me njel.	Ɓɔ̀ngɛ ɓa ǹnundha mɛ̀ lı̀wanda jem; ɓa ǹnundha mɛ̀ njɛ̀l.
Njal i ñwééha me bôlô; di ñwééha nson.	Njàl i ŋ́weeha mɛ̀ ɓòlo; dı̀ ŋ́weeha ǹsɔn.
Libadô jem li yé lilam.	Lı̀ɓàdò jɛ̂m li yè lı̀lam.
Di ntindne mut kak, a kônha bés maséé.	Dı̀ ntindne mùt kak, à kònha ɓes masee.
Bandééñga ba gwéé kék inyuu kégi.	Bandééñga ɓa gwèe kek inyùu kégi.
Bipôdôl bi mut gwon bi nyis libak jéé.	Bipôdôl bi mùt gwɔn bi ńyı̄s lı̀ɓâk jee.
Junuk li yé suguu ba nje.	Junuk li yè sùgùù ɓa njɛ̄.
Yi i nhañ nye.	Yi i nhāŋ nyɛ.
Nunu mudaa bo nlôm ba ntjélna.	Nunu mùdàa ɓɔ ǹlom ɓa ntjélna.
Man a ntjimbe ñgandak len.	Mǎn à ntjimbe ŋgàndàk lɛ̀n.
Linjuga li kundi.	Linjuga li kundi.
Ñoñ lisege; ñoñ ñgok; ñoñ sol.	Ñoñ lisege; ŋ̀ɔŋ ŋgɔ̀k; ŋ̀ɔŋ sol.
Lileegege jéé li bakén li ñkônha maséé.	Lileegege jee li ɓàkèn li ŋkònha masee.
Liwanda joñ li ñkahal bihle we.	Lı̀wanda jɔŋ li ŋ̀kahal bihle wɛ̂.
A nhôdbene me mañge ni jomol; binuga bi nhôdbene miba.	À nhôdbene mɛ̀ màŋgɛ nı̀ jomol; binùga bi nhôdbene miba.
Ñgand i ñkahal hodol.	Ŋgànd i ŋ̀kahal hodol.
Mañge a ñkwee mis.	Màŋgɛ à ŋ̀kwɛɛ mı̌s.
Me nje me nuu.	Mɛ̀ njɛ̄ mɛ̀ nuu.
Jin li ñgwela manyii.	Jin li ŋgwɛ̀la manyii.
Kiya lisoñ.	Kiya lı̀sɔ̀ŋ.
Nyemb i lép i mbés bôdaa ok i lom.	Nyɛ̌mb i lep i mbés ɓòdàa ɔ̄k i lɔ̂m.
Kel i nheyi! kel i ñkandi.	Kɛl i nheyi! kɛl i ŋ̀kandı̂.
Bilem gwéé bibe bi ntjiha ñgim ñkoñ.	Bı̀lɛm gwèe bı̀ɓɛ bi ntjiha ŋgı̀m ŋkɔ̀ŋ.
Bôt bana ba biyumha.	Ɓòt ɓana ɓa biyumha.
Men me ñkom hana!	Mɛ̌n mɛ̀ ñkom hana!
Sudman i mband pagi kwade ño.	Sûdmàn i m̂ɓand pagı̄ kwadɛ ŋɔ.
Be wéé u yé kon!	Be wee u yè kɔ̂n!
Ñgim binuga i nhyôm ndigi bibaa bibaa (kikii nsiñ nyoo).	Ŋgı̀m binùga i nhyōm ndigi biɓaà biɓaà (kikii nsı̄ŋ nyoo).
Tjôñ tjés di yé dihindi.	Còŋ ces dı̀ yè dihindi.
Makabô ma ntôl ha bé hisi basaa.	Màkàbò ma ntòl ha ɓe hisi ɓàsàa.
Jôjô mut.	Jôjô mût.
Inyukii u nyuyuu man woñ?	Inyǔkı̄i u nyuyuu man wɔ̂ŋ?
Sañgô a ñañal minhyômôk ñwéé i loñ bakana.	Saŋgo à ŋāŋal minhyōmok ŋwee i lɔ̀ŋ ɓakana.
Yuglene me soso nsôn nuga.	Yuglene mɛ̀ sɔsɔ̄ ǹsòn nugā.
kôkôa i ñgéda hugbe.	kòkoa i ŋgèdà hùgɓɛ̀.
Biték (gwa) bi gapémhene ki we biloo ni njôm (Bib.3,18).	Bı̀tèk (gwa) bi gapēmhɛnɛ ki wɛ bı̀lɔ̀ɔ nı̀ njôm (Bib.3,18).
Biték (gwa) bi gapémhene ki we biloo ni njôm (Bib.3,18).	Bı̀tèk (gwa) bi gapēmhɛnɛ ki wɛ bı̀lɔ̀ɔ nı̀ njôm (Bib.3,18).
Biték (gwa) bi gapémhene ki we biloo ni njôm (Bib.3,18).	Bı̀tèk (gwa) bi gapēmhɛnɛ ki wɛ bı̀lɔ̀ɔ nı̀ njôm (Bib.3,18).
Ñwom mi maén mi téé ni miñkôñga.	Ŋwɔ̀m mi màen mi tee nı̀ miñkôñga.
A nhuuna ñgandak bijek.	À nhuuna ŋgàndàk bijɛk.
A mbugle me mbôndô yada.	À mbugle mɛ̀ mbòndo yàda.
A nnit ñgôli i bôbôk.	À nnı̀t ŋgoli i ɓòbôk.
A nségbaha kék i e.	À nségbaha kek i ɛ̄.
"Yak Kibispandi ni Mbénhônd ba gabéyés ha béé mapubi map..."Yés. 13,10.	"Yàk Kı̀bı̀spandi nı̀ Mbênhond ɓa gaɓèyes ha ɓee mapūbi map..."Yés. 13,10.
Soñgol ñgaa.	Soñgol ŋgaa.
Sañal njel.	Sañal njɛ̀l.
Kembe i mbua.	Kɛmbɛ̂ i m̂ɓua.
Lôs yoñ i tane bé bôt bobasô!	Los yɔŋ i tanɛ̀ ɓe ɓòt bobasô!
Likaak joñ li ñéba le u yé bitembee.	Likaak jɔŋ li ŋēba lɛ u yè bı̀tɛmbɛɛ.
Ba nhilil me loo hinoo hi kôô.	Ɓa nhilil mɛ̀ lɔ̀ɔ̀ hı̀nɔ̀ɔ hi kòò.
A ntulha me bibôô bi miba; di ntulha miba.	À ntulha mɛ̀ bı̀ɓòò bi miba; dı̀ ntulha miba.
Me yé maséé; me ñkon maséé.	Mɛ̀ yè maséé; mɛ̀ ŋkɔ̀n masee.
Njee a téé i pañ yem?	Njɛɛ à tee i pāŋ yɛ̂m?
Mut nunu a mbabbana yak man wéé.	Mùt nunu à mbabbana yak man wee.
Mañge munlôm nunu a nsal ñgandak.	Màŋgɛ mûnlom nunu à ǹsal ŋgandàk.
Ñgwa yem a bijuba.	Ŋgwà yɛ̂m à bijuba.
Mañge a nsulul me.	Màŋgɛ à ǹsulūl mɛ̂.
Bole i bédi kaô i ñgii litut.	Ɓɔlɛ̂ i ɓèdi kaò i ŋgı̀i litūt.
Ba bibôdlaha suglu.	Ɓa bibôdlaha sǔglù.
Ntelep liwindi.	Ntelep liwindi.
Nyuñge loñ yem i gwéé bilañ biaa: kwem, kôyôp, njoy ni hyôdôt ññemkédé.	Nyùŋgɛ̀ lɔ̀ŋ yɛ̂m i gwèe bı̀làŋ biaa: kwem, kôyôp, njoy nı̀ hyòdot ññemkédé.
Yérémia a bé man prisi yada le Hilkiya.	Yerèmià à ɓe man prı̂sı̀ yada lɛ Hilkiya.
Hee u nhuune malañ moñ?	Hɛɛ u nhuunɛ malàŋ moñ?
A nsindil kôô u walôm.	À nsindil kòò u walōm.
Éña i ñét.	Eŋa i ñét.
Jay li yé loñge bibil banjemje.	Jǎy li yè lɔŋgɛ bibil ɓànjɛ̌mjɛ̀.
A ññwéhha me malép i ndap simet, di ññwéhha malép i ndap.	À ññwéhha mɛ̀ màlep i ndap simet, dı̀ ññwéhha màlep i ndap.
Wen u ntindha me mana matôa.	Wɛ̌n u ntindha mɛ̀ mana matoà.
Bôdaa ba nnobol matebel.	Ɓòdàa ɓa nnobol matɛ̄bɛ̂l.
Ele wee u gwéé ñguy tinde ñkok unu!	Ɛlɛ wɛ̀ɛ u gwèe ŋgùy tindɛ ŋkɔ̀k unu!
Ñgôy mbay i yé mahindi; ñgôy bikay i mbôk wom.	Ŋgǒy mbāy i yè màhindi; ŋgôy bı̀kay i m̂ɓok wɔ̌m.
Bôt ba njagi ba nlegna moo.	Ɓòt ɓa njagı̄ ɓa nlegna mɔ̀ɔ.
Lipubi li kel.	Lı̀pubi li kɛl.
Me nlo i weni.	Mɛ̀ nlɔ̀ i weni.
A nléhi libum.	À nléhi liɓùm.
Biloñ bi ntjéna gwo ni gwo.	Bı̀lɔ̀ŋ bi ntjéna gwɔ nı̀ gwɔ.
A nnôgbaha me i titimba; di nnôgbaha malép masuni.	À nnôgbaha mɛ̀ i titimba; dı̀ nnôgbaha màlep màsuni.
Hee u mbadne moni nu u gwéé?	Hɛɛ u mbadne mɔ̀ni nu u gwéé?
Me nsôma we.	Mɛ̀ ǹsomā wɛ̂.
Bédél me malét kaat minsoñgi a bibôn me.	Bédél mɛ̀ malêt kààt mı̀nsɔ̀ŋgi à bibôn mɛ̂.
Mabadô ma ñgi yoo.	Màɓàdò ma ŋgı̀ yoo.
Me mbéndi boñge nson.	Mɛ̀ mbéndi ɓɔ̀ŋgɛ ǹsɔn.
Toñ nyaga i yé hémél i masak ma bausa.	Tɔŋ nyàgà i yè hémél i màsak ma ɓàusa.
Kôp yobaa i ñwo.	Kop yobaa i ŋwɔ.
Njee a nlégbaha we bisu bi baane?	Njɛɛ à nlégbaha wɛ bisū bi baane?
Lôômba ñkaa.	Lôômba ŋkaa.
Ñkwade lisee a nhoo ñgandak.	Ŋ̀kwadɛ lisɛɛ̂ à nhɔ̄ɔ ŋgandàk.
Mudaa nunu a hééba dibanda .	Mùdàa nunu à heeba dibanda .
Mañge a ñkek kômôl.	Màŋgɛ à ŋ̀kɛk komôl.
Ti i tén.	Ti i ten.
Ti i tén.	Ti i ten.
Alôdñgas wem a nnôlôl me jôga li nyik.	Alôdñgas wɛ̂m à nnòlol mɛ̀ jogà li nyik.
Ndodi i yé me i tuñ (tuum??).	Ndodi i yè mɛ̀ i tùŋ (tuum??).
Bép kembee i numb manañ.	Ɓep kɛmbɛɛ̀ i nûmb manañ.
A nyubdaha me minsoñgi.	À nyubdaha mɛ̀ mı̀nsɔ̀ŋgi.
Minleem mi nsénda.	Mı̀nlɛ̀ɛ̂m mi nsénda.
Mut nunu a nyi nson, ndi a mbuuha.	Mùt nunu à ńyı̄ ǹsɔn, ndi à mbuuha.
Liôô li ñkon ndigi bôt ba nhaa.	Liôô li ŋkɔ̀n ndigi ɓòt ɓa nhaa.
Ini tôtô i njéba ni mbôñ.	Ini tôtô i njēba nı̀ m̂ɓòŋ.
Kwet mut pem ni su.	Kwet mùt pɛm nı̀ su.
Miñgé mi bé himil boñge ni bôdaa.	Mı̀ŋgê mi ɓe himil ɓɔ̀ŋgɛ nı̀ ɓodàa.
A nnok nlegla wem e?	À ǹnɔk nlegla wɛ̂m ɛ?
Nhombok u libam won me nténdél minlôñ.	Nhombok u liɓam wɔn mɛ̀ nténdél mı̀nlòŋ.
Me mpôdba loñge nsôn nuga.	Mɛ̀ mpôdba lɔŋgɛ ǹsòn nugā.
Matuge ma Yésu.	Matuge ma Yesù.
A nsane hiuye .	À ǹsanɛ hiuye .
Bada lipep li!	Ɓada lı̀pɛp lı̂!
Nyum u gwéé ñgandak bilañ; nyum u nsék.	Nyum u gwèe ŋgàndàk bilañ; nyum u nsék.
Mbom be i nnoñ me.	Mbɔ̀m ɓɛ̄ i nnɔ̀ŋ mɛ̂.
Hee me sehlene we?	Hɛɛ mɛ̀ sehlene wɛ̂?
Tumb i hiloga; tumb i hiñgonda.	Tumb i hilɔga; tumb i hiŋgɔ̀ndà.
Ntik mut.	Ntik mût.
Bôt ba nsanda.	Ɓòt ɓa nsàndà.
Mut nunu a yé nsanda kiiyaga.	Mùt nunu à yè nsandā kiiyaga.
Me nsuhul i likala.	Mɛ̀ nsùhul i lı̀kàlà.
A ñkon dikola.	À ŋkɔ̀n dikɔlâ.
I kose me mbéna ba i téblé, ndi i kose juu me mbéna ba i nañ.	I kɔ̀sɛ̀ mɛ̀ mɓèna ɓa i têblè, ndi i kɔ̀sɛ̀ jùu mɛ̀ mɓèna ɓa i nàŋ.
Bibumblene gwem bini .	Bibumblene gwɛ̂m bini .
Mañ mut u mbañgal mbok.	Maŋ mùt u mɓāŋgal mbɔk.
Bikat bi mbôñ.	Bikat bi m̂ɓòŋ.
"Ñgii i yé mbedek i ñgii" Hyém 103:11.	"Ñgii i yè mbedek i ñgii" Hyèm 103:11.
Di nségél i ndap ñgand.	Dı̀ nségél i ndap ŋgànd.
Hundul masu (bisahô).	Hùndùl màsu (bisahô).
Hyañgaa hi nyamba.	Hyàŋgaa hi nyamba.
A mbaale me mis.	À mbaale mɛ̀ mı̌s.
Mut nu a ñagre.	Mùt nu à ñagre.
"Hitendi hyada to liton jada ba ganyodi bé munu mbén" (Mat.5,18)	"Hı̀tɛ̀ndı̀ hyada tɔ̀ lı̀tɔn jada ɓa ganyɔ̄di ɓe munu mbén" (Mat.5,18)
Téédana me liboho li mat	Teedana mɛ̀ liboho li mat
Libulus ñkus li yé nseñ inyuu ñgim loñ bôt .	Libulus ŋkùs li yè ǹsɛŋ inyùu ŋgı̀m lɔ̀ŋ ɓòt .
Likôga li bibôha yani.	Lı̀kòga li bibôha yàni.
"Ñgéda hyôa (hi) mbebi i ntagbe, béba mut i ta ha bé"Biñgéñgén 10:25.	"Ŋgèdà hyòa (hi) mbɛ̀bi i ntagɓɛ̀, ɓeba mùt i ta ha ɓe"Bı̀ŋgèŋgên 10:25.
Ndamb yem i nnyambi.	Ndàmb yɛ̂m i nnyambi.
Kaakaga a mmal matjee ma kôp.	Kaakaga à m̂mâl macɛ̀ɛ ma kop.
Sitima i bitjak Lihala.	Sı̀timà i bitjak Lihala.
Hiyôn hi ñgwela lihep.	Hı̀yòn hi ŋgwɛ̀la lı̀hɛp.
Njéé i njena; basaa ba njena kii tjobi.	Njèe i njena; ɓasàa ɓa njɛ̄na kı̀i cɔ̀bi.
Me ñkôs ñkén.	Mɛ̀ ŋ̀kôs ŋ̀kèn.
Mut mbu mbe a nhyôm hana!	Mùt mbū mɓɛ̄ à nhyōm hana!
Minsemek mi bôt.	Minsemek mi ɓôt.
Jôy lini li ñadbene nye minjôha.	Jòy lini li ñadbene nyɛ minjôha.
Kaat biyeelene.	Kààt biyeelene.
Ti me kégél yem i bie .	Ti mɛ̀ kégél yɛ̂m i biɛ .
Me bikwo kégse yem i bisu.	Mɛ̀ bikwɔ̀ kêgsɛ̀ yɛ̂m i bı̀su.
Me mpam i mbédgé; me mpam hanano i tison.	Mɛ̀ mpām i mbédgé; mɛ̀ mpām hānânɔ i tı̄sɔ̀n.
Nana bitôdô.	Nana bitòdò.
Jôôga li hinuni.	Jòòga li hinùni.
Me mmal bahbas.	Mɛ̀ m̂mâl ɓàhɓàs.
